gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME
1241,Joint Mitnor Cave,Devon CC,Pleistocene Vertebrata,,Notified,SX744665,50.48,-3.77,274400,66500,01-Oct-82,04-Nov-82,NE,"Joint Mitnor Cave has yielded the richest known fossil assemblage of Ipswichian Interglacial age in Britain, and extensive fossiliferous deposits remain in situ. The fauna, of eighteen species, includes hippopotamus, straight-tusked elephant, wild boar, fallow deer, spotted hyaena, lion and some small mammals. One of Britain's outstanding Pleistocene mammal localities.",Quaternary,Rare/unique Mineral / Fossil Site,BUCKFASTLEIGH CAVES
1263,Culverhole Point,Devon CC,Rhaetian,British Penarth Group sites,Notified,SY275893,50.7,-3.03,327500,89300,01-Nov-82,21-Mar-86,NE,"An outstanding section of Rhaetian strata, overlain by the Albian. A section from the Tea Green Marls to the White Lias is exposed here. At the base of the section, a highly fossiliferous bone bed is seen to penetrate the Tea Green Marls, this has yielded archosaur bones. Landscape marble occurs in the two metre Cotham section, beneath the White Lias. The most extensive exposures of the most southerly British Rhaetic outcrops is seen at Culverhole.",Triassic,Coastal and River Cliffs,AXMOUTH TO LYME REGIS UNDER CLIFFS
1264,Pinhay Bay,Devon CC,Rhaetian,British Penarth Group sites,Notified,SY320908,50.71,-2.96,332000,90800,01-Nov-82,21-Mar-86,NE,"An important site for studying Rhaetian sediments, showing a thick development of the White Lias, and their transition into the Jurassic strata above. The White Lias section, eight metres in thickness, includes the Sun Bed at its top. Above, these beds grade into the Pre-planorbis Beds and overlying Hettangian Blue Lias. An important site for the study of Rhaetian sediments affording unrivalled exposures for this rock interval.",Triassic,Coastal and River Cliffs,AXMOUTH TO LYME REGIS UNDER CLIFFS
1312,Kent`s Cavern,Torbay,Quaternary of South-West England,Pleistocene cave sequences,Notified,SX935641,50.47,-3.5,293500,64100,01-Dec-86,05-Dec-88,NE,"Kent's Cavern, is a famous and important Quaternary site. It is significant for studies in palaeontology, dating and stratigraphy and for elucidating environmental and faunal changes during the Quaternary. It has yielded vertebrate remains of Middle and Late Devensian age and is also notable for the presence of deposits that are probably of Middle Pleistocene age.",Quaternary,Rare/unique Mineral / Fossil site,KENT`S CAVERN
1494,Shoalstone,Torbay,Permian - Triassic,British Permian red beds,Notified,SX934568,50.4,-3.5,293400,56800,01-Feb-84,17-Apr-86,NE,"The wave cut platform here exposes two sets of red sandstone-filled fissures (dykes). Some of the fissures are lined by large sparry calcite crystals. The fissures cut into the Devonian Torquay Limestone and they mark the initial stages of continental deposition in the Permo-Triassic basin of south-west England, on a basement of much older Palaeozoic rocks.",Triassic,Foreshore Exposures,BERRY HEAD TO SHARKHAM POINT
1496,Oddicombe Beach,Torbay,Permian - Triassic,British Permian red beds,Notified,SX927660,50.48,-3.51,292700,66000,01-Feb-84,21-Mar-86,NE,"Here the Oddicombe Breccias of Permian age are faulted against the Devonian limestones of Petit Tor. The breccias are poorly sorted sediments and are arranged in crude sheet-like spreads of sediment, (in fining-upwards units) which were deposited by ephemeral floods. Imbrication of particles in some finer units indicates fluvial transport towards the east. The site also includes a cavity and fissure system cut into the limestone and filled by Permian sandstones and siltstones.",Permian,Coastal and River Cliffs,BABBACOMBE CLIFFS
1503,Saltern Cove,Torbay,Permian - Triassic,British Permian red beds,Notified,SX894591,50.42,-3.56,289400,59100,01-Feb-84,06-Sep-84,NE,"At this locality coarse Permian fluvial breccias rest unconformably on Devonian slates. The unconformity surface is very clearly seen as a cast on the base of the breccias. These contain much locally-derived material and are arranged in poorly organised, fining-upwards and sedimentary sequences. The coarsest Permian beds occur immediately above the unconformity. A key site showing a regionally significant unconformity.",Permian,Coastal and River Cliffs,SALTERN COVE
1504,Roundham Head,Torbay,Permian - Triassic,British Permian red beds,Notified,SX896603,50.43,-3.55,289600,60300,01-Feb-84,06-Sep-84,NE,"This is the type section of the Permian Tor Bay Breccias. These here include a variety of fluvial breccias, in which types formed during ephemeral sheet floods are the most abundant. On the south side of the headland are interbedded aeolian sands showing palaeowind directions towards the north-west. This contrasts with the directions of fluvial transport, deduced from sedimentary structures such as imbrication and cross-bedding in the breccias, which was towards the south-east. A key site for demonstrating Permian sedimentary environments.",Permian,Coastal and River Cliffs,ROUNDHAM HEAD
1505,Dawlish,Devon CC,Permian - Triassic,British Permian red beds,Notified,SX966768,50.58,-3.46,296600,76800,01-Feb-84,06-Sep-84,NE,"This site shows one of the finest continuous exposures of interbedded aeolian sands (Dawlish Sands) and water-laid, breccia-filled, fluvial channels of Permian age in the country. At the northern end of the section, Langstone Rock is the type section of the Langstone Breccias a coarser sedimentary development within the main body of the Dawlish Sands.",Permian,Coastal and River Cliffs,DAWLISH CLIFFS
1506,Orcombe Rocks,Devon CC,Permian - Triassic,British Permian red beds,Notified,SY018797,50.61,-3.39,301800,79700,01-Feb-84,06-Sep-84,NE,"An excellent coastal section in the sandstones, siltstones and mudstones of the Permian Exmouth Formation. These fluvial sandstones show a variety of trough and planar-tabular cross-bedding indicating that the rivers which deposited these sediments flowed towards the north. Mudstones represent deposition in fluvial overbank (flood plain) and playa-lake environments, and they contain rare plant fossils. An important site for the elucidation of Late Permian environments.",Permian,Inland Outcrops and Stream Sections,EXE ESTUARY
1507,Budleigh Salterton,Devon CC,Permian - Triassic,British Triassic red beds,Notified,SY055815,50.62,-3.34,305500,81500,01-Feb-84,06-Sep-84,NE,"A magnificent coastal section exposing the full thickness of the Lower Triassic Buddleigh Salterton Pebble Beds, a sequence of texturally mature conglomerates deposited by braided rivers. These include pebbles of Ordovician quartzite with an indigenous fauna derived from the erosion of a ridge of much older Palaeozoic rocks lying to the south or south-west. The conglomerates are overlain by fluvial and aeolian sandstones of the Otter Sandstone Formation which contain, at the base, a layer of wind facetted pebbles (dreikanter), and also well-developed columnar calcrete horizons.",Triassic,Coastal and River Cliffs,BUDLEIGH SALTERTON CLIFFS
1509,Coryton`s Cove,Devon CC,Permian - Triassic,British Permian red beds,Notified,SX961761,50.57,-3.47,296100,76100,01-Feb-84,06-Sep-84,NE,"A coastal cliff section in Permian rocks, showing a major aeolian sandstone unit over twenty metres thick, in the Dawlish Sands. The junction of the underlying Coryton and Teignmouth fluvial breccias is also seen. The Teignmouth breccias include flat-bedded and normally graded deposits produced by sheet floods and also matrix- supported debris flow. They form a coarse and very thick basal unit of the local Permian succession.",Permian,Coastal and River Cliffs,DAWLISH CLIFFS
1513,Park Gate Quarry,Devon CC,Dinantian of Devon & Cornwall,Culm Trough,Notified,SS556297,51.05,-4.06,255600,129700,01-Feb-84,06-Sep-84,NE,"The Lower Carboniferous lithologies exposed here are typical of those developed throughout North Devon at this stratigraphic level, but the faunas they contain are quite exceptional for their diversity and abundance. Goniatites, corals, trilobites and brachiopods have been identified in the past, and recent finds confirm these and establish additional records of entomozoid ostracods and conodonts. Detailed palaeontological research at this locality is sure to enhance our understanding of Visean faunas locally as well as facilitate regional correlation, making this an important site for Lower Carboniferous stratigraphic studies.",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings",PARK GATE QUARRY
1514,Fremington Quay,Devon CC,Dinantian of Devon & Cornwall,Culm Trough,Notified,SS517337,51.08,-4.12,251700,133700,01-Feb-84,16-Jan-87,NE,"This section provides stratigraphical evidence for uninterrupted marine sedimentation in North Devon at about the Devonian- Carboniferous boundary. Diagnostic ammonoid and trilobite faunas allow some degree of correlation with sequences in Cornwall, but more substantial links can be established with comparable neritic facies in Germany. The carbonate successions of the South-West Province of England, France and Belgium are of equivalent age but their critical faunas do not occur in the clastic dominated Fremington section. Only certain groups of micro-fossils, such as conodonts and spores, offer any prospect of equating in time the different facies that characterise the Dinantian of northern Europe. An important site for correlations of Devonian-Carboniferous sediments, and studies of their deposition, in south-west England.",Carboniferous,Coastal and River Cliffs,FREMINGTON QUAY CLIFFS
1516,Spara Bridge,Devon CC,Dinantian of Devon & Cornwall,Culm Trough,Notified,SX841845,50.65,-3.64,284100,84500,01-Feb-84,06-Sep-84,NE,"This section exposes a complete succession through the Devonian and Carboniferous rocks of the Teign valley. A wide range of lithologies are represented, fossils are present if not abundant and yield some information, and minor folds reflect the overall structural setting of the southerly-dipping sequences. The marine basin in which the rocks accumlated appears to have deepened during the Dinantian but the source of the sediment remains largely speculative. A site of considerable sedimentary and stratigraphic interest with potential for future research.",Carboniferous,Inland Outcrops and Stream Sections,SPARA BRIDGE
1517,Kersdown Quarry,Devon CC,Dinantian of Devon & Cornwall,Culm Trough,Notified,SS964222,50.99,-3.48,296400,122200,01-Feb-84,06-Sep-84,NE,"This quarry is the type locality for the Kersdown Chert Member, and it also illustrates the transition from that unit into the lithologically different Bailey's Member above: both being subdivisions of the Bampton Formation. This is an important reference section for the Bampton Limestone Formation in an area where many former exposures have been lost through quarrying and reclamation. Sedimentological and palaeontological information from Kersdown provides a basis for recognising Lower Carboniferous turbidite sedimentation in mid-Devon, whilst the major plunging anticlinal fold seen here is representative of the structural style in this area. A key site demonstrating typical lithologies in the local Dinantian sedimentary succession, and their contained faunas.",Carboniferous,Exposures in Active Quarries and Pits,KERSDOWN QUARRY
1518,Stout's Cottage Quarry,Devon CC,Dinantian of Devon & Cornwall,Culm Trough,Notified,ST049192,50.96,-3.35,304900,119200,01-Feb-84,06-Sep-84,NE,"Crucial evidence concerning the age and origin of the Upper Westleigh Limestone has been obtained from this locality. The rare combination here of goniatites and conodonts, has established a Lower Carboniferous age from these rocks and enabled the integrated use of these fossils for correlation in the Visean. The Westleigh Limestone contains fossils and blocks of sediment originally formed in shallow water but transported into this deeper water site by powerful submarine turbidity currents thus adding considerably to the overall thickness of strata in the area. A key site for studies of both sedimentation and biostratigraphy in the Lower Carboniferous (Dinantian).",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings",STOUT`S COTTAGE
1519,West Whipcott Quarry,Devon CC,Dinantian of Devon & Cornwall,Culm Trough,Notified,ST069186,50.96,-3.33,306900,118600,01-Feb-84,06-Sep-84,NE,"The rocks and structures seen at this locality are typical of the Upper Westleigh Limestone and they are particularly valuable because comparable exposures in the area are now inaccessible. Palaeontological evidence for the Lower Carboniferous (Dinantian) age of the sediments is available here and the limestones appear to be of turbiditic origin. This indicates that the Westleigh area lay in a marine basin, receiving influxes of sediment, in the form of dense turbid debris flows, from a now concealed source to the east. The sediments and fossils conveyed in these turbidity flows originated in shallow water and were swept down the sloping seabed, adding to the thickness of sediment already accumulating in the basin. An important site for studies of Dinantian sedimentation and stratigraphy.",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings",LOWER WHIPCOTT
1520,Kiln Cottage Quarry,Devon CC,Dinantian of Devon & Cornwall,Culm Trough,Notified,SS950221,50.99,-3.5,295000,122100,01-Feb-84,06-Sep-84,NE,"This is the most informative of the few localities in Devon to expose a conformable boundary between very different Lower and Upper Carboniferous sedimentary sequences. Fossils from here, and other exposures around Bampton, indicate that this important transition occurred during late Visean times. Fine-grained limestones, accumulated in deep water, became inundated by black shales and sandstones which effectively infilled the marine basin and eventually brought about a change to shallow water, deltaic conditions. The source of the coarse sediment was a large, eroding landmass situated in the region of mid- and north Wales. An important site in the palaeogeographic and sedimentary analysis of Carboniferous rocks in southern Britain.",Carboniferous,"Exposures in Disused Quarries, Pits and Cuttings","FIVE OAKS, BAMPTON"
1530,Fremington Quay (South),Devon CC,Quaternary of South-West England,The Quaternary history of north Devon and west Somerset,Notified,SS511331,51.08,-4.13,251100,133100,01-Feb-84,16-Jan-87,NE,"The section at Fremington Quay has figured prominently in interpretations of the Pleistocene history and stratigraphy of the Barnstaple area, particularly concerning the crucual relationship of the raised beaches to the glacial deposits. At issue is the interpretation of a sequence of raised beach deposits, gravels and stony clays. According to one interpretation, the stony clays represent a glacial till which postdates the raised beach. The alternative view holds that they are a solifluction deposit and that the raised beach postdates glaciation of the area. Fremington Quay is therefore an important reference site in the debate on the Pleistocene stratigraphy of North Devon.",Quaternary,Coastal and River Cliffs,FREMINGTON QUAY CLIFFS
1531,Westward Ho!,Devon CC,Quaternary of South-West England,The Quaternary history of north Devon and west Somerset,Notified,SS422291,51.04,-4.25,242200,129100,01-Feb-84,06-Sep-84,NE,"Westward Ho! is an important locality illustrating several key features of the coastal geomorphology and Quaternary deposits of south-west England, including multiple shore platforms and a classic succession of raised beach and head deposits. It is particularly noted for the association of these features with an intertidal peat bed of Flandrian age resting on soliflucted and cryoturbated beach deposits. Together these features provide an exceptional record of former changes in sea-level and climatic conditions. As elsewhere in south-west England, there are diverging interpretations of the chronology of the pre-Flandrian landforms and deposits which has stimulated much scientific interest and debate. The features at Westward Ho! complement the interest at Fremington, Croyde and Saunton, making the Barnstaple Bay area one of the prime localities for Quaternary studies in south-west England.",Quaternary,Coastal and River Cliffs,WESTWARD HO! CLIFFS
1532,Croyde - Saunton Coast,Devon CC,Quaternary of South-West England,The Quaternary history of north Devon and west Somerset,Notified,SS427400,51.14,-4.25,242700,140000,01-Feb-84,06-Sep-84,NE,"Croyde-Saunton Coast is one of the most important localities illustrating key features of the coastal geomorphology and Pleistocene stratigraphy of south-west England. It is particularly noted for a series of shore platforms, large erratic boulders and a succession of raised beach, blown sand and head deposits. Together these features provide one of the most comprehensive records in south-west England of the evidence for former changes in sea- level and fluctuations in climate. Croyde-Saunton Coast complements the interest at Fremington and Westward Ho!, making the Barnstaple Bay area one of the prime localities for Quaternary studies in south-west England.",Quaternary,Coastal and River Cliffs,SAUNTON TO BAGGY POINT COAST
1533,Brannam`s Clay Pit,Devon CC,Quaternary of South-West England,The Quaternary history of north Devon and west Somerset,Notified,SS530316,51.06,-4.1,253000,131600,01-Feb-84,13-Feb-85,NE,"Brannam's Claypit is one of the most important Pleistocene sites in south-west England. It provides sections in a series of deposits which demonstrate the only indisputable evidence that glacier ice reached the peninsula, probably during the Wolstonian Stage. The deposits comprise a series of glacial till units which contain erratics and a fossil microfauna indicating derivation, at least in part, from the Irish Sea Basin. The sedimentology of the deposits has significant research potential for elucidating the depositional conditions. The till deposits overlie gravels of disputed origin, which adds to the scientific interest of the site. The deposits at Brannam's Claypit complement the interests at Croyde, Saunton and Westward Ho!, making the Barnstaple Bay area a prime locality for Quaternary studies in south-west England.",Quaternary,"Exposures in Disused Quarries, Pits and Cuttings",FREMINGTON CLAYPIT
1534,Valley of Rocks,Devon CC,Quaternary of South-West England,The Quaternary history of north Devon and west Somerset,Notified,SS700495,51.23,-3.86,270000,149500,01-Feb-84,06-Sep-84,NE,"Valley of Rocks is a classic landform of south-west England noted for a dry valley and a range of periglacial features. The site has played a focal role in the development of ideas concerning coastal and drainage evolution in North Devon. One widely held explanation of Valley of Rocks involves marine capture of a pre-existing river valley; another interpretation holds that the feature is a marginal meltwater channel of Wolstonian age and therefore one of several key lines of evidence indicating the former presence of glacier ice on the northern coast of south-west England. In addition, the association of tors, talus and blockstreams, and head, fluvial and raised beach deposits makes Valley of Rocks a locality of considerable importance for Pleistocene geomorphology.",Quaternary,Relict Geomorphological Site,WEST EXMOOR COAST AND WOODS
1535,Two Bridges Quarry,Devon CC,Quaternary of South-West England,Granite landscapes,Notified,SX609751,50.56,-3.96,260900,75100,01-Feb-84,13-Aug-84,NE,"Two Bridges Quarry is one of the most important geomorphological sites in south-west England, particularly noted for its association with D L Linton and his classic theory of tor formation. The site shows heavily decomposed granite juxtaposed with a mass of relatively more sound bedrock and was used as a field model by Linton to illustrate the first stage of tor formation by differential weathering. Although Linton's theory has been variously challenged or modified, the classic nature of Two Bridges Quarry and its historical significance in the development of ideas on tor genesis in Britain are attested by numerous references to the site in the geomorphological literature. Following Linton's original work, the site has been investigated as part of several studies on the relative roles played by pneumatolysis (alteration by mineralising fluids from deep within the Earth) and sub-surface weathering in the decomposition of granite in south-west England.",Quaternary,"Exposures in Disused Quarries, Pits and Cuttings",TWO BRIDGES QUARRY
1536,Bellever Quarry,Devon CC,Quaternary of South-West England,Granite landscapes,Notified,SX658763,50.57,-3.9,265800,76300,01-Feb-84,06-Sep-84,NE,"Bellever Quarry is a site of considerable geomorphological importance for its assemblage of periglacial and granite weathering features typical of Dartmoor slopes. It is particularly noted for the most striking example of outcrop curvature - downslope deformation of the upper part of the weathered granite by solifluction, clearly illustrated by the deflection of tourmaline veins - and convincingly shows its relationships with bedded growan. Head deposits overlie the rotted granite which shows a typical series of weathering zones and differential weathering forms passing down into solid bedrock. Additional interest includes local pneumatolytic alteration of the granite by mineralising fluids from deep within the Earth. Bellever Quarry is one of the best site demonstrating many of the classic slope features of Dartmoor in a single exposure.",Quaternary,"Exposures in Disused Quarries, Pits and Cuttings",LAUGHTER QUARRY
1681,Chudleigh Caves,Devon CC,Quaternary of South-West England,Pleistocene cave sequences,Notified,SX865787,50.6,-3.6,286500,78700,21-Jan-87,01-Feb-91,NE,"Chudleigh is an important locality for Quaternary studies. Several of the caves in the gorge contain Upper and late Middle Pleistocene deposits together with associated palaeontological and archaeological remains. Also important is the potential for linking the fossiliferous cave deposits with slope deposits in the gorge and river terrace deposits, thereby establishing a chronology for the geomorphological history of the area.",Quaternary,Rare/unique Mineral/ Fossil Site,CHUDLEIGH CAVES AND WOODS
1682,Beer Quarry,Devon CC,Quaternary of South-West England,Pre-Quaternary and long-term landscape evolution,Notified,SY214896,50.7,-3.11,321400,89600,01-Dec-86,07-Jan-87,NE,Beer Quarry provides one of the best exposures of a suite of clay- filled chalk pipes in southern England. Such features are important for interpreting solutional processes operating in chalk landscapes but are rarely seen in section.,Quaternary,Exposures in Active Quarries and Pits,BEER QUARRY AND CAVES
1688,Pitts Cleave Quarry,Devon CC,Igneous Rocks of South-west England,Pre-orogenic volcanics (Group B sites),Notified,SX502763,50.57,-4.12,250200,76300,01-Mar-85,10-Mar-87,NE,"A typical example of one of the largest massive alkali dolerite greenstone bodies in this area. This sill-like body intrudes, and incorporates within it, black argillite rafts of Lower Carboniferous (Visean) age. It not only shows a variety of primary internal textures and mineralogies, but excellent curved columnar jointing only occasionally seen in the massive greenstones. This body (and many others in the area) lies within the aureole of the Dartmoor granite and shows the superimposed mineralogical effects of low-grade contact metamorphism.",,"Exposures in Disused Quarries, Pits and Cuttings",PITT`S CLEAVE
1689,Brent Tor,Devon CC,Igneous Rocks of South-west England,Pre-orogenic volcanics (Group B sites),Notified,SX471804,50.6,-4.16,247100,80400,01-Oct-84,10-Mar-87,NE,"The knoll of Brent Tor is one of the few well-exposed examples of Lower Carboniferous basaltic hyaloclastites in Devon. From the limited outcrop pattern submarine volcanism probably built a small localised high-level hyaloclastite mound on the seafloor. The stratigraphically upper portion of the sequence is poorly bedded and demonstrates the effect of water current reworking that carried volcanic debris downslope for a considerable distance. As Hercynian submarine volcanism is generally represented by the development of pillow lavas, this locality is a rare example of a Carboniferous eruption event that produced basaltic volcaniclastites.",,Inland Outcrops and Stream Sections,BRENT TOR
1690,Trusham Quarry,Devon CC,Igneous Rocks of South-west England,Pre-orogenic volcanics (Group B sites),Notified,SX848808,50.61,-3.63,284800,80800,01-Oct-84,10-Mar-87,NE,"The site comprises a small water-filled disused quarry and the southern wall of the adjacent, larger working quarry; both of which are developed in a coarse greenstone. One of the main interests here is the exposure of the upper contact between a coarse, variably hydrothermally altered metadolerite and cleaved Lower Carboniferous argillites. The argillite is only mildly adinolised and exhibits excellent thermal spotting and the development of prismatic andalusite. Elsewhere wedges of metasediment within the greenstone body are highly argillised due to later hydrothermal activity.",,Exposures in Active Quarries and Pits,CROCKHAM QUARRY
1691,Chipley Quarries,Devon CC,Igneous Rocks of South-west England,Pre-orogenic volcanics (Group B sites),Notified,SX808721,50.54,-3.68,280800,72100,01-Oct-84,24-Feb-86,NE,"The classic area of Upper Devonian (Famennian) submarine basaltic volcanism with a local sequence of pillow lavas developed on the north-east margin of the Trevone Trough. The exposures show good pillow features and are readily dated by the fauna of the adjacent slates. Although of similar age to the thicker pillow sequence at Pentire Point, they have a distinct chemistry and are petrogenetically unrelated.",,"Exposures in Disused Quarries, Pits and Cuttings",CHIPLEY QUARRIES
1692,Webberton Cross Quarries,Devon CC,Igneous Rocks of South-west England,Post-orogenic volcanics (Group D sites),Notified,SX876873,50.67,-3.59,287600,87300,01-Oct-84,02-Jan-00,NE,"The northern Quarry of the pair in this area exhibits about 15m of a porphyritic basalt lava of Permian age. Together with various lamprophyres, these early basaltic extrusives were dominant expressions of post-orogenic Permian volcanism. Of particular interest here is the highly vesicular base of the lava which incorporates fragments of reddened sediment. The intimate association indicates that the lava flowed into and over wet, unconsolidated sediments.",,"Exposures in Disused Quarries, Pits and Cuttings",WEBBERTON CROSS QUARRIES
1693,Killerton Park and Quarries,Devon CC,Igneous Rocks of South-west England,Post-orogenic volcanics (Group D sites),Notified,SS969007,50.8,-3.46,296900,100700,01-Oct-84,29-Nov-84,NE,"The site covers much of Killerton Park and the quarries therein, and is one of the better accessible examples of Permian lamprophyres. The lamprophyres here are typical biotite-phyric minettes and although field relationships are often obscure, they are considered to be lava flows rather than the usual dyke-like bodies seen elsewhere.",,"Exposures in Disused Quarries, Pits and Cuttings",KILLERTON
1694,Posbury Clump Quarry,Devon CC,Igneous Rocks of South-west England,Post-orogenic volcanics (Group D sites),Notified,SX815978,50.77,-3.68,281500,97800,01-Dec-84,21-Jan-85,NE,"Elongate overgrown quarry exhibiting another Permian K-rich lava type - a massive amygdaloidal trachybasalt with an irregular rubbly flow top. This is also one of the few accessible localities where the extrusive environment of the Permian lavas can be demonstrated. Part of the quarry is in an intimate sediment-lava melange with interrelationships that suggest the lava flowed over and penetrated wet sediments, variously entrapping baked sediments within an open lava network.",,"Exposures in Disused Quarries, Pits and Cuttings",POSBURY CLUMP
1725,Hope`s Nose,Torbay,Mineralogy of South West England,,Notified,SX949636,50.46,-3.48,294900,63600,01-Feb-85,27-Jun-86,NE,"A series of mineralised veins cutting through Devonian limestone are exposed in the rock platform on the eastern side of Hope's Nose. The vein fillings consist mostly of calcite, hematite and dolomite but small quanitites of native gold also occur, as fine branching filaments. Recent detailed research has also revealed the presence of very rare palladium minerals (isomertieite and mertieite II). This is the only known occurrence of this assemblage of minerals in Britain, making this a nationally important site for mineralogic structures.",,Rare/unique Mineral/ Fossil Site,HOPE`S NOSE TO WALL`S HILL
1785,South Brentor Quarry,Devon CC,Marine Devonian,,Notified,SX480805,50.6,-4.15,248000,80500,01-Jul-85,10-Mar-87,NE,"The quarry exposes deep water sedimentary rocks of Devonian age which are richly fossiliferous. The fauna indicates the Clymenia Zone of the Famennian (Upper Devonian). The site is of importance in interpreting the Transition Series of this area, ie beds of previously uncertain age near the Devonian/Carboniferous boundary. The fauna and lithology is of palaeontological significance in tracing the passage from a late Devonian deep-water basinal environment to a shallower facies in the early Carboniferous.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",SOUTH BRENTOR QUARRY
1786,Rillage Point,Devon CC,Marine Devonian,,Notified,SS539483,51.21,-4.09,253900,148300,01-Jul-85,10-Mar-87,NE,"Rillage Point provides good exposures of the Middle Devonian (Givetian) Ilfracombe Beds, consisting of sandstones and mudstones with occasional limestone bands. This site includes the Jenny Start Limestone and is also the type locality of the Rillage Limestone. Exposures here display well the lithological and faunal characteristics of these limestones and this is of interest as these limestones form valuable marker-horizons, which are of particular importance inland, where exposures of the Ilfracombe Beds are poor. The Ilfracombe Beds (shallow marine clastic sediments with thin limestones) contrast strongly with beds of similar age in south Devon (massive reef-limestones) and north Cornwall (deep-water slates) and it is possible that these three regions were completely, or partially, isolated during the Devonian. Further research, particularly a comparison of the north Devon and south Devon limestones, is needed to clarify these problems.",Devonian,Coastal and River Cliffs,"HELE, SAMSON`S AND COMBE MARTIN BAYS"
1787,Downend,Devon CC,Marine Devonian,,Notified,SS434389,51.13,-4.24,243400,138900,01-Jul-85,07-Aug-86,NE,"In the coastal section around Downend the lithological and sedimentological characters of the Lower Pilton Beds (Upper Devonian) are well-displayed. A rich fauna is indicative of a late Famennian age. Tuff bands are present in the section, which indicate the occurrence of penecontemporaneous volcanic activity in the area and these form useful local marker-horizons, particularly as this section has undergone tectonic thickening. In the late Devonian, a transgression northwards brought about deeper-water conditions during the deposition of the Pilton Beds. The transition, from shallow-water sandstones and siltstones to deeper-water shales with cherts, approximately coincided with the faunal changes marking the Devonian/Carboniferous boundary.",Devonian,Coastal and River Cliffs,SAUNTON TO BAGGY POINT COAST
1788,Combe Martin Beach,Devon CC,Marine Devonian,,Notified,SS568475,51.21,-4.05,256800,147500,01-Jul-85,10-Mar-87,NE,"This site displays well the faunal and lithological characteristics of the Lester Slates and Sandstones and the Combe Martin Slates ie the lower part of the Ilfracombe Beds (Givetian). Within the Combe Martin Slates is a thin, fossiliferous limestone the Combe Martin Beach Limestone. This limestone is useful as a marker-horizon and is typical of the limestone development in the Ilfracombe Beds ie thin, persistent beds of limestone within nearshore clastic sediments. This contrasts strongly with beds of similar age in south Devon (massive reef-limestones) and north Cornwall (deep-water slates). The Ilfracombe Beds display a change from shallow marine conditions to a slightly deeper environment with the development of thin, bioclastic limestones.",Devonian,Coastal and River Cliffs,"HELE, SAMSON`S AND COMBE MARTIN BAYS"
1789,Baggy Point,Devon CC,Marine Devonian,,Notified,SS447408,51.14,-4.22,244700,140800,01-Jul-85,07-Aug-87,NE,"The site is the type section of the Baggy Beds but also exposes good, representative sections of the Upcott Beds and Lower Pilton Beds. The Baggy Beds display an extensive range of sedimentary structures, including numerous bioturbation traces, which are of great importance in establishing a shallow marine, deltaic environment for these sediments, thus assisting the interpretation of the local and regional palaeoecology and palaeogeography. The site also includes Laticosta Cave, a well-known Pilton Beds fossil locality. The site as a whole demonstrates a wide range of contrasting facies (marine and non-marine) in the Famennian (Upper Devonian).",Devonian,Coastal and River Cliffs,SAUNTON TO BAGGY POINT COAST
1790,Barricane Beach,Devon CC,Marine Devonian,,Notified,SS454443,51.18,-4.21,245400,144300,01-Jul-85,10-Mar-87,NE,"The Upper Devonian (Frasnian-Famennian) Morte Slates exposed here were deposited in a shallow marine environment and are richly fossiliferous. This is the best fossil locality in the Morte Slates. It is of historic interest because it has formerly been proposed that the Devonian succession in North Devon had been repeated by faulting and that the Morte Slates were identical with the Lower Devonian Lynton Beds. This question was only resolved after fossil collections from Barricane Beach had been described, conclusively demonstrating that the Morte Slates are Upper Devonian and in sequence.",Devonian,Foreshore Exposures,BARRICANE BEACH
1791,Fremington Quay,Devon CC,Marine Devonian,,Notified,SS517340,51.09,-4.12,251700,134000,01-Jul-85,16-Jan-87,NE,"While the boundary between Devonian and Carboniferous has been recognised in disturbed thrust-sheets in north Cornwall, Fremington Quay is unique in displaying the boundary in a conformable succession, little affected by tectonism. The beds here are a uniform sequence of dark shales which are richly fossiliferous. Late Devonian (Wocklumeria Zone) and early Carboniferous (Gattendorfia Zone) faunas have been recognised here and this section offers a unique opportunity for the detailed sampling of fossils to establish precisely the succession of faunas across the boundary.",Devonian,Coastal and River Cliffs,FREMINGTON QUAY CLIFFS
1803,Chipley Quarries,Devon CC,Marine Devonian,,Notified,SX808721,50.54,-3.68,280800,72100,01-Oct-85,24-Feb-86,NE,"Chipley Quarries display excellent examples of late Devonian pillow lavas. The lavas are overlain by deepwater slates which have yielded ostracods indicating a late Famennian age. These lavas are similar to pillow lavas in Cornwall but are later in age. The slates seen at Chipley, the Gurrington Slate, are interpreted as basinal deposits indicative of a late Devonian transgression. The slates and lavas are important in any interpretation of late Devonian regional palaeogeography.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",CHIPLEY QUARRIES
