"ID","Name","LGG No","Grid Ref","X","Y","Lat","Lon","Local Authority","Parish","Public Access","Access","Period","Rock Group","Geological Highlights","Condition"
136,"Porlock Weir","SS84/532","SS850480",285000,148000,51.219579,-3.6480533,"Exmoor National Park","Porlock","TRUE","Full","Quaternary","Head & beach","Head.. Relict Slopes Salt Marsh. Shingle Beach","Good"
137,"Stoke Bridge Golyes","SS84/540","SS87394337",287390,143370,51.178439,-3.6123919,"Exmoor National Park","Luccombe","TRUE","Conditional","Quaternary","landforms","SPLENDID GOYLES IN HEAD","Good"
138,"Yellowstone Cliff","SS84/548","SS81804914",281800,149140,51.229171,-3.6942288,"Exmoor National Park","Oare","TRUE","Full","Devonian","Hangman Sandstone","SEDIMENTS TECTONICS","Good"
139,"Barlynch Quarry","SS92/500","SS93052922",293050,129220,51.052335,-3.5272507,"Exmoor National Park","Dulverton","FALSE","Conditional","Devonian","Pickwell Down Beds","SUPERB SEDIMENTS TECTONICS","Good declining"
140,"Marsh Bridge River Channel","SS92/515","SS90392899",290390,128990,51.049766,-3.5651167,"Exmoor National Park","Dulverton","TRUE","Full","Devonian","Pickwell Down Beds","SEDIMENTS QUARTZ VEINING","Good steady"
141,"Perry Road New Cutting","SS92/527","SS92802585",292800,125850,51.021996,-3.5298179,"Exmoor National Park","Exton","TRUE","Full","Carb./Devonian","Pilton Beds","FOSSILS FENESTELLA SEDIMENTS","Good declining"
142,"Allencroft Quarry West","SS93/507","SS95693922",295690,139220,51.142712,-3.4924915,"Exmoor National Park","Timberscombe","FALSE","Conditional","Devonian","Roadwater Limestone","SEDIMENTS","Good declining"
143,"Luckwell Bridge Quarry","SS93/548","SS90953854",290950,138540,51.135715,-3.5600174,"Exmoor National Park","Cutcombe","TRUE","Conditional","Devonian","Roadwater Limestone","FOSSILS SEDIMENTS","Good declining"
144,"Kingsbridge New Mill Quarry","SS93/549","SS98703795",298700,137950,51.131836,-3.4491209,"Exmoor National Park","Luxborough","FALSE","Conditional","Devonian","Avill Group","SEDIMENTS",
145,"Bridgetown Cutting","SS93/562","SS92343292",292340,132920,51.085461,-3.5384792,"Exmoor National Park","Exton","TRUE","Full","Devonian","Pickwell Down Beds","SEDIMENTS","Good declining"
146,"Wheddon Cross Car Park","SS93/572","SS92503882",292500,138820,51.138525,-3.5379557,"Exmoor National Park","Winsford","TRUE","Full","Devonian","Cutcombe Slates","SEDIMENTS QUARTZ LENSES TECTONICS",
147,"Edbrook Road Cutting","SS93/582","SS91993403",291990,134030,51.095373,-3.5438066,"Exmoor National Park","Winsford","TRUE","Full","Devonian","Pickwell Down Beds","SEDIMENTS QUARTZ VEINING TECTONICS","Poor declining"
148,"Cottage Quarry","SS93/588","SS91603627",291600,136270,51.115434,-3.5500473,"Exmoor National Park","Winsford","FALSE","Uncertain","Devonian","Brendon Hill Beds","TECTONICS",
149,"Stowey Farm Quarry","SS93/585","SS95693922",295690,139220,51.142712,-3.4924915,"Exmoor National Park","Timberscombe","FALSE","Conditional","Devonian","Roadwater Limestone","SEDIMENTS SEDIMENTARY STRUCTURES FOSSILS",
150,"Combeshead Quarry","SS94/508","SS926476",292600,147600,51.217465,-3.5391535,"Exmoor National Park","Minehead","TRUE","Conditional","Devonian","Hangman Sandstone","SEDIMENTS, BARYTES, TECTONICS, SCREE FORM","Poor declining"
151,"Culver Cliffs","SS94/509","SS95944787",295940,147870,51.220511,-3.4914269,"Exmoor National Park","Minehead","TRUE","Full","Devonian","Hangman Sandstone","CLIFFS SEDS. & SED STRUCTURES TECTONICS","Good"
152,"Conygar Tower Quarry","SS94/517","SS99204410",299200,144100,51.187208,-3.4437027,"Exmoor National Park","Minehead","FALSE","No access","Devonian","Hangman Sandstone","HUGE FACE CLEAR SEDIMENTS","Good declining"
153,"Gillhams Quarry","SS94/530","SS92054442",292050,144420,51.188777,-3.5460679,"Exmoor National Park","Wootton Courtney","FALSE","Conditional","Permian/Triassic","Otter Sandstone","FAULT CALCITE VEINS BRECCIAS","Good declining"
154,"Greenaleigh Point","SS94/542/3","SS95214815",295210,148150,51.222894,-3.501958,"Exmoor National Park","Minehead Without","TRUE","Full","Devonian","Hangman Sandstone","Seds. Sed. Structs Tect. Arc Shingle Ridge Hd Palslope NT","Good"
155,"Oaktrow Road Quarries","SS94/545","SS93904002",293900,140020,51.149573,-3.518306,"Exmoor National Park","Cutcombe","FALSE","Uncertain","Devonian","Oaktrow Sandstone","TECTONIC SEDIMENTS FOSSILS",
156,"Luccombe Boulder Bed","SS94/552","SS91194501",291190,145010,51.193917,-3.5585479,"Exmoor National Park","Wootton Courtney","TRUE","Full","Permian/Triassic","Otter Sandstone","FANTASTIC BOULDER BED","Good declining"
157,"Huntscott Garage Quarry","SS94/554","SS92464419",292460,144190,51.186787,-3.5401344,"Exmoor National Park","Wootton Courtney","FALSE","Conditional","Permian/Triassic",,"CALCITE VEINING SEDIMENTS CALC BRECCIAS",
158,"Shepton Mallet Cutting","ST64/554","ST618431",361800,143100,51.185842,-2.5479482,"Mendip","Shepton Mallet","TRUE","Uncertain","Jurassic","Limestones, Blue Lias & Clays","SEDIMENTS",
159,"Beard Hill Quarry","ST64/555","ST628407",362800,140700,51.164329,-2.5333917,"Mendip","Pilton","FALSE","Conditional","Jurassic","Blue Lias","SEDIMENTS","Good declining"
160,"Town Lane Quarry","ST64/558","ST624435",362400,143500,51.189479,-2.5394058,"Mendip","Shepton Mallet","FALSE","Uncertain","Jurassic","Blue Lias","SEDIMENTS",
161,"Doulting Quarry","ST64/590","ST649435",364900,143500,51.189638,-2.5036344,"Mendip","Doulting","FALSE","Conditional","Jurassic","Doulting Stone","SEDIMENTS",
162,"Abbey Quarry","ST64/591","ST653437",365300,143700,51.191461,-2.4979303,"Mendip","Doulting","FALSE","Full","Jurassic","Doulting Stone",,
163,"Whitehole Quarry","ST64/594","ST681499",368100,149900,51.247373,-2.4584181,"Mendip","Downhead","FALSE","Uncertain","Carboniferous","Carboniferous Limestone","HOTWELLS GROUP SEDIMENTS",
164,"Barnclose Quarry","ST64/595","ST693477",369300,147700,51.227657,-2.4410368,"Mendip","Downhead","FALSE","Uncertain","Carboniferous","Clifton Down Limestone","SEDIMENTS","Poor declining"
165,"Maesbury Cutting","ST64/504","ST606476",360600,147600,51.226222,-2.5656126,"Mendip","Binegar","FALSE","Uncertain","Carboniferous","Lower Limestone Shale","CLIFTON DOWN LIMESTONE",
166,"Minster Stone Quarry","ST64/513","ST660432",366000,143200,51.187007,-2.4878664,"Mendip","Cranmore","FALSE","Conditional","Jurassic","Doulting Stone","INFERIOR OOLITE LIMESTONES",
167,"Sunny Hill Quarry","ST64/616","ST659459",365900,145900,51.211279,-2.4895546,"Mendip","Stoke St Michael","FALSE","Uncertain","Silurian","Volcanics","IGNEOUS",
168,"Hector Wood Quarry","ST64/618","ST672480",367200,148000,51.230238,-2.4711374,"Mendip","Stoke St Michael","FALSE","Uncertain","Carboniferous","Quartzitic stone","QUARTZITIC SANDSTONE GROUP SEDIMENTS",
169,"Chilcompton Railway Cutt","ST65/503","ST652521",365200,152100,51.266984,-2.5001798,"Mendip","Chilcompton","TRUE","Conditional","Permian/Triassic","Westbury Beds","TECTONICS SEDIMENTS","Good declining"
170,"Chilcompton Old Down Cutt","ST65/505","ST631512",363100,151200,51.258759,-2.5301851,"Mendip","Chilcompton","FALSE","Conditional","Perm/Trias/Jur","Rhaetian & Lower Jurassic","SEDIMENTS","Poor declining"
171,"Emborough Dam","ST65/507","ST615510",361500,151000,51.256855,-2.5530914,"Mendip","Emborough","TRUE",,"Carboniferous","Lower Coal Series","SEDIMENTS",
172,"Tedbury Camp Quarry","ST74/507","ST746489",374600,148900,51.238709,-2.3652228,"Mendip","Elm","TRUE","Full","Carb/Jurassic","Inferior Oolite over Carb Lst","UNCONFORMITY TECTONICS SEDIMENTS","Good"
173,"Shute Shelve Tunnel","ST45/537","ST422560",342200,156000,51.300175,-2.83078,"Sedgemoor District","Compton Bishop","TRUE",,"Carboniferous","Black Rock Limestone","SEDIMENTS","Good declining"
174,"Rowberrow Swallets","ST45/538","ST456580",345600,158000,51.318493,-2.7819889,"Sedgemoor District","Shipham","TRUE",,"Quaternary","Swallets","SWALLETS",
175,"Rowberrow Cavern","ST45/539","ST45965802",345960,158020,51.318707,-2.7768267,"Sedgemoor District","Shipham","FALSE",,"Quaternary","cavern","CAVE  SYSTEM",
176,"Wearyall Hill","ST43/521","ST489381",348900,138100,51.139876,-2.731796,"Mendip","Glastonbury","TRUE","Full","Quaternary","shallow slides","ROLLOVERS SLIDES","Good"
177,"Hazel Corner","ST55/509","ST528562",352800,156200,51.302953,-2.6784433,"Mendip","Hunt-Blewit","FALSE","Full","Carboniferous","Burrington Oolite","SEDIMENTS FAULT VERTICAL CALCITE",
178,"Leigh Barton Quarry","ST03/534","ST022356",302200,135600,51.111321,-3.3984783,"Exmoor National Park","Treborough","FALSE","No access","Devonian","Sticklepath Slate","SEDIMENTS TECTONICS","Poor declining"
179,"Golsoncott Quarry",,"ST028390",302800,139000,51.141987,-3.3908278,"Exmoor National Park","Old Cleeve","FALSE","Conditional","Devonian","Leighland Slates & Roadwater Lst","SEDIMENTS","Poor declining"
180,"Treborough Woods","ST03/557","ST013368",301300,136800,51.121953,-3.4116597,"Exmoor National Park","Treborough","FALSE",,"Devonian","Leighland Beds",,
181,"Draycott Sleights","ST45/521","ST485515",348500,151500,51.260322,-2.7394401,"Mendip","Rodney Stoke","TRUE","Full","Carboniferous","Burrington Oolite","SEDIMENTS CAVES","Good declining"
182,"Stump Cross Railway Cutt","ST54/500","ST593431",359300,143100,51.185669,-2.5837164,"Mendip","Croscombe","FALSE","Uncertain","Permian/Triassic","Dolomitic Conglom/Black Rock Lst","SEDIMENTS UNCONFORMITY",
183,"Croscombe Road Cutting","ST54/502","ST595443",359500,144300,51.196473,-2.5809907,"Mendip","Croscombe","TRUE","Uncertain","Permian/Triassic","Dolomitic Conglomerate","SEDIMENTS",
184,"Maesbury Quarry","ST54/521","ST596475",359600,147500,51.225253,-2.5799211,"Mendip","St.Cuthbert Out","FALSE","Uncertain","Carboniferous","Black Rock Limestone","MINERALISATION FAULT FISSURES",
185,"Tor Woods","ST54/523","ST555458",355500,145800,51.209662,-2.6384189,"Mendip","Wells","FALSE","Uncertain","Permian/Triassic","Dolomitic Conglomerate","Dolomitic Conglomerates on Carboniferous Limestone",
186,"Pen Hill Quarry","ST54/528","ST568487",356800,148700,51.235837,-2.6201605,"Mendip","St.Cuthbert Out","TRUE",,"Devonian","Old Red Sandstone","SEDIMENTS",
187,"Milton Lane","ST54/531","ST549473",354900,147300,51.223102,-2.6471968,"Mendip","Wells","TRUE","Full","Perm/Trias/Jur","Keuper Marl - Lower Lias","WESTBURY AND COTHAM BEDS",
188,"Tumulous Quarry","ST54/544","ST552493",355200,149300,51.241108,-2.6431519,"Mendip","Chewton Mendip","FALSE",,"Carboniferous","Black Rock Limestone","SEDIMENTS",
189,"Wells Green Swallet","ST54/539","ST550447",355000,144700,51.199732,-2.6454379,"Mendip","Chewton Mendip","FALSE","Uncertain","Jurassic","Blue Lias","SWALLETT IN BLUE LIAS",
190,"Bishop's Lot","ST54/546","ST550495",355000,149500,51.24289,-2.646042,"Mendip","Chewton Mendip","TRUE","Uncertain","Carboniferous","Black Rock Limestone","LARGE DOLINE",
191,"Wookey Station","ST54/554","ST531464",353100,146400,51.214864,-2.6728522,"Mendip","Wells","TRUE",,"Quarternary","gravel","DEVENSIAN GRAVEL","Good declining"
192,"Stoberry Park Quarry","ST54/555","ST556468",355600,146800,51.218661,-2.6371116,"Mendip","Wells","FALSE","Uncertain","Carboniferous","Clifton Down Limestone","SEDIMENTS","Poor declining"
193,"Beacon Hill Wood","ST64/505","ST637458",363700,145800,51.210244,-2.5210381,"Mendip","Shepton Mallet","TRUE","Full","Devonian","Portishead Beds","SEDIMENTS","Good declining"
194,"Deer Leap","ST54/566","ST519496",351900,149600,51.243536,-2.6904619,"Mendip","Wells","TRUE","Full","Carboniferous","Millstone Grit","SEDIMENTS",
195,"Wilmott's Quarry","ST64/534","ST657445",365700,144500,51.198679,-2.4922834,"Mendip","Cranmore","FALSE","Uncertain","Carboniferous","Black Rock Limestone","FISSURES FOSSILS",
196,"Waterlip Quarry East","ST64/535","ST661446",366100,144600,51.199602,-2.4865682,"Mendip","Cranmore","FALSE","No access","Carboniferous","Black Rock Limestone","TECTONICS FOSSILS","Poor declining"
197,"Stones Hill Farm Quarry","ST64/537","ST632495",363200,149500,51.24348,-2.5285767,"Mendip","Binegar","FALSE","Uncertain","Carb./Perm/Trias","Quartzitic St. & Dolomitic Conglom.","NEPTUNIAN DYKE",
198,"Holwell Car Park Quarry","ST75/557","ST729452",372900,145200,51.205361,-2.3892928,"Mendip","Nunney","FALSE","Conditional","Permian/Triassic","Fissure Fillings","MOORE'S FISSURES","Good declining"
199,"Carslake Bridge Cutting","ST13/506","ST112367",311200,136700,51.122676,-3.2702176,"W Somerset","Stogumber","FALSE","Conditional","Devonian","Vexford Breccias","SEDIMENTS","Good declining"
200,"Triscombe Quarry","ST13/522","ST157359",315700,135900,51.116165,-3.2057467,"W Somerset","Crowcombe","FALSE","Conditional","Devonian","Hangman Sandstone","VOLCANICS TECTONICS SEDS. NEEDS RESEARCH","Good declining"
201,"Bicknoller Quarry","ST13/538","ST115399",311500,139900,51.15149,-3.2667193,"W Somerset","Bicknoller","TRUE","Full","Carboniferous","Hangman Sst Triscombe Beds","SEDIMENTS AND SEDIMENTARY STRUCTURES","Good steady"
202,"Kents Hill Quarry","SS92/505","SS920252",292000,125200,51.016003,-3.541026,"W Somerset","Exford","TRUE","Conditional","Carboniferous","Bampton Limestone","RADIOLARIANS SEDIMENTS TECTONICS","Good declining"
203,"Bowdens Quarry","SS92/506","SS920248",292000,124800,51.012407,-3.5409068,"W Somerset","Exford","TRUE","Conditional","Carboniferous","Bampton Limestone","CONODONTS GRADED TUFF",
204,"Hulverton Hill Quarry","SS92/507","SS927249",292700,124900,51.013437,-3.5309618,"W Somerset","Exford","FALSE","Conditional","Devonian","Pickwell Down Beds","RADIOLARIANS SEDIMENTS LANDFORM",
205,"Bridge End Quarry","SS92/518","SS993289",299300,128900,51.05059,-3.4380227,"W Somerset","Skilgate","TRUE","Conditional","Devonian","PickwellL Down Beds","TECTONICS SEDIMENTS",
206,"Hollow Street Cutting","SS94/504","SS967464",296700,146400,51.207436,-3.4801244,"W Somerset","Minehead","FALSE","Full","Permian/Triassic","Bunter Sand & Pebble Beds","SEDIMENTS TECTONICS",
207,"Woolston Quarry","ST04/517","ST094401",309400,140100,51.152959,-3.2967866,"W Somerset","Sampford Brett","TRUE",,"Devonian","Bunter Sandstone and Pebble Beds","SEDIMENTS","Good declining"
208,"Halsway Quarry","ST13/532","ST133380",313300,138000,51.134685,-3.240532,"W Somerset","Crowcombe","TRUE",,"Devonian","Trentishoe Grits",,
209,"Bicknoller Combe Quarry","ST13/538","ST115399",311500,139900,51.15149,-3.2667193,"W Somerset","Bicknoller","FALSE",,"Devonian","Little Hangman Sandstone","SEDIMENTS",
210,"W Quantocks Head Quarries","ST14/501","ST113416",311300,141600,51.166742,-3.2699977,"W Somerset","W Quantockhead","TRUE",,"Devonian","Tuff over Hangman Sandstone","SEDIMENTS","Good declining"
211,"Holford Glen","ST14/542","ST155412",315500,141200,51.163783,-3.2098485,"W Somerset","Holford","TRUE",,"Devonian","Hangman Sst Triscombe Beds","SEDIMENTS","Good declining"
212,"Holford Combe Quarry","ST14/545","ST152405",315200,140500,51.157445,-3.2139727,"W Somerset","Holford","FALSE",,"Devonian","Tuff over Hangman Sandstone","SEDIMENT","Good declining"
213,"Willoughby Cleeve Quarry","ST14/546","ST150408",315000,140800,51.160113,-3.2169028,"W Somerset","Holford","FALSE",,"Devonian","Hangman Sandstone","SEDIMENTS","Good declining"
214,"Godney Moor Raised-Mire","ST44/512","ST472448",347200,144800,51.199962,-2.7570794,"Mendip","Godney","YES","Conditional","Recent","Peat","Relict Raised Mire-Palaeo Record 1600 Years","Good"
