gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME,GCR_Link,SSSI_Link
1063,"Furzy Cliff, Overcombe",Dorset,Jurassic - Cretaceous Reptilia,British Late Jurassic fossil reptiles sites,Notified,SY697817,50.63,-2.43,369700,81700,1982/06/01,1985/08/07,NE,"The Jordan Cliff Clays of Furzy Cliff (bukowskii Subzone, cordatum Zone, Upper Oxford Clay, Lower Oxfordian) have yielded the best British Oxfordian reptile fauna. The type specimen of the carnivorous dinosaur Metriacanthosaurus consists of postcranial remains that indicate an animal rather different from the typical Megalosaurus, and possibly related to the ancestry of spinosaurids and tyrannosaurids. The ichthyosaur (Ophthalmosaurus) is the only known British Oxfordian ichthyosaur, and a few plesiosaur vertebrae have also been collected. The reptiles from the Upper Oxford Clay of Furzy Cliff are of international importance because of the rarity of Oxfordian reptiles worldwide, and its potential for future finds.",Ordovician,Coastal and River Cliffs,SOUTH DORSET COAST,,
1628,Gad Cliff,Dorset,Portlandian - Berriasian,,Notified,SY871797,50.62,-2.18,387100,79700,1984/07/01,1985/08/07,NE,"Gad Cliff shows a Jurassic rock sequence from the Kimmeridge Clay through the whole of the Portland Beds, and at Worbarrow Tout the complete local development of the overlying Purbeck Beds. The site affords access to some of the best exposed Portland Sand sections in Dorset, including parts of the succession which cannot be examined further east in the Isle of Purbeck. These features make the locality a vital link in studies of both stratigraphy and facies analysis in Upper Jurassic marine rocks as they are traced across Dorset. The Worbarrow Purbeck Beds section is important because it shows thin representatives of the Purbeck rock sequence and all its constituent members, when compared to Durlston Bay, and a clear junction with the overlying Wealden strata which is not otherwise seen in this part of England. Thus the locality shows, in one section, the entire Late Jurassic sequence, with a transition from open marine sediments (Kimmeridge Clay) through shallower marine sands, clays, dolomites and limestones (Portland Beds) to the land, freshwater and marine lagoonal sediments and environments of the Purbeck Beds.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
915,Gaulter Gap to Broad Bench (Kimmeridge Bay),Dorset,Jurassic - Cretaceous Reptilia,British Late Jurassic fossil reptiles sites,Notified,SY898789,50.61,-2.14,389800,78900,1981/11/01,1985/08/07,NE,"The Kimmeridge Clay of Kimmeridge Bay has produced many specimens of turtles, crocodiles, pterosaurs, plesiosaurs, ichthyosaurs and dinosaurs, including several type specimens. These include some giant crocodiles (Dacosaurus maximus), plesiosaurs (Pliosaurus ferox) and dinosaurs (Cetiosaurus). The remains apparently come from the lower part of the formation and the Aulacostephanus zones in particular. Probably the richest Kimmeridgian reptile site in Britain.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
2109,Goldencap - Lyme Regis,Dorset,Coastal Geomorphology of England,Soft-rock cliffs,Notified,SY380927,50.73,-2.88,338000,92700,1986/10/01,1986/08/27,NE,"The assemblage of cliffs and adjacent beaches at Golden Cap- Lyme Regis is important on several accounts. Firstly, the cliff changes are well-documented, especially the landslides at Black Ven. Secondly, there are excellent examples of beach ramparts formed by the boulder content of the landslides. Thirdly, the beaches are fed in part by chert and flint from the cliffs so that it is possible to monitor effectively landslides, cliff erosion and beach sediment budgets. Fourthly, some components of the beaches are thought to be relict elements of a larger Lyme Bay beach which may have linked with the western end of Chesil Beach. Golden Cap-Lyme Regis is important not only for classic landforms, but also for the processes that link cliffs and beaches.",Quaternary,Active Process Geomorphological Site,WEST DORSET COAST,,
56,Halfway House Cutting and Quarry,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST601164,50.95,-2.57,360100,116400,1979/10/01,1985/04/25,NE,"Historically the area around Halfway House has played a key part in unravelling the complex story of Mid-Jurassic stratigraphy, and thus in advancing the science of geology as a whole. The most famous section in the area is that at Halfway which exhibits a complete section through the Inferior Oolite as typically developed in this area. This section is highly attenuated and contains five major non- sequences and numerous hard-grounds. Halfway House is the type locality for part of the Upper Bajocian time interval (truellei Subzone) and is thus of international importance in Mid-Jurassic stratigraphical studies.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",HALFWAY HOUSE QUARRY,,
3036,"Hamcliff, Redcliff Point",Dorset,Callovian,The Middle Jurassic Stratigraphy of Wessex,Proposed,SY713817,50.63,-2.41,371300,81700,1997/06/12,2000/01/02,NE,"Hamcliff exposes the most complete known Callovian-Oxfordian boundary sequence in Britain (the historical type region of both stages).

The site shows a mudrock sequence in the Oxford Clay Formation, primarily in Weymouth Member Facies.  The lower part of the sequence includes up to 7.5m of clay of Callovian age yielding ammonites (in part pyritized) indicating the praelamberti, lamberti and paucicostatum biohorizons of the terminal Callovian Lamberti Subzone and Zone.  The fauna is dominated by the ammonites Quenstedtoceras, with rarer Kosmoceras, Peltomorphites, Hecticoceras, Alligaticeras and Euaspidoceras.  The base of the Oxfordian is marked by the incoming of Cardioceras cf. woodhamense (Arkell).  The paucicostatum Biohorizon fauna is of particular international significance and is now taken to make the termination of Callovian sequences throughout much of north west Europe.  The Biohorizon at its thickest here in Britain being around 4.5m thick (as opposed to c. 0.15m in North Yorkshire).

The calcareous mudrock sequence also has great potential to yield important microfossil assemblages which will aid correlation of the basal Oxfordian boundary where ammonites are absent.

The most important Callovian-Oxfordian boundary locality in Britain, Hamcliff has great potential for aiding international correlations.",,,,,
206,Handfast Point to Ballard Point,Dorset,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,SZ043824,50.64,-1.94,404300,82400,1980/01/01,1986/08/06,NE,"A strike and dip cliff section displaying unequalled exposures of mid- Campanian Chalk, especially important for palaeontological studies. To the south the Upper Chalk is separated from the Lower and Middle Chalk by the spectacular Purbeck Thrust. An outstanding stratigraphic and structural site of national importance.",Cretaceous,Coastal and River Cliffs,STUDLAND CLIFFS,,
1588,Highcliffe,Dorset,Tertiary Palaeobotany,Late middle Eocene-early Oligocene (Bartonian-Rupelian) and Miocene palaeobotany of Great Britain,Notified,SZ195927,50.73,-1.72,419500,92700,1984/04/01,1986/03/27,NE,"This is the only locality with a diverse flora from the Boscombe Sands, of Eocene age. Over fifty species have been recorded, and this is the type locality for fourteen species and two genera; eleven species and three genera are unique to this site within the British Tertiary. Fruits, seeds, coniferous remains and fern pinnules found here represent wetland plants, but there are also lianas, herbaceous climbers, trees and shrubs. These are forms typical of early and early Middle Eocene strata in Britain, but they were still surviving in late Middle Eocene times at this site.",Tertiary,Coastal and River Cliffs,HIGHCLIFFE TO MILFORD CLIFFS,,
54,Holway Hill Quarry,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST638211,50.99,-2.52,363800,121100,1979/10/01,1985/04/25,NE,"A key section in the Lower Inferior Oolite. Here the Corton Denham Beds, a local expanded limestone development, represent the Aalenian Stage. These limestones contrast with the condensed deposits normally seen in the classic Inferior Oolite sections of the Sherborne area of Dorset. It is the only remaining section to show both the Ringens Bed and the Brebissoni Bed, two distinct and localised faunal horizons in the Corton Denham Beds.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",HOLWAY HILL QUARRY,,
57,Horn Park Quarry,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST457021,50.82,-2.77,345700,102100,1979/10/01,1985/04/25,NE,"Stratigraphically and palaeontologically outstanding exposures in the Inferior Oolite spanning the Aalenian and Bajocian stages. The complete Aalenian sequence here exposed is regarded as the most important in that stage in Great Britain, and it is of oustanding importance in international correlation. The very thin Lower Inferior Oolite, spanning all three zones of the Aalenian Stage, is noteworthy for its abundant ammonite faunas, the essential means of correlation in Jurassic rocks. Horn Park is one of the key reference sections for the European Aalenian, and for the future definition of the Stage in an international context.",Jurassic,Rare/unique Mineral/ Fossil Site,HORN PARK QUARRY,,
726,Houns-tout,Dorset,Portlandian - Berriasian,,Notified,SY946773,50.59,-2.08,394600,77300,1981/09/01,1985/08/07,NE,"This site, with some of Britain's most spectacular Jurassic scenery, includes the thickest sections in Britain in the late Jurassic Portland Beds, with the basal Purbeck Beds above. Fitton's historical type section for the Portland Sand is within the site at Emmit Hill. The section, continuing the Kimmeridgian succession from the pectinatus Zone upwards, runs through the albani Zone and up to the oppressus Zone. The Massive Bed at Houns-tout has been defined as the base of the albani Zone and thus as the base of the standard Portlandian Stage internationally. A key section in elucidating sedimentary events in the regressive phase which marked the close of the Jurassic Period - and one of international significance for its stratigraphy.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
3147,Kimmeridge Bay (Gaulter Gap to Broad Bench),Dorset,Mesozoic - Tertiary Fish/Amphibia,British Jurassic fossil fishes sites,Proposed,SY898789,50.61,-2.14,389800,78900,2000/06/16,2000/01/02,NE,"The cliffs and foreshore exposures of the Kimmeridge Clay at Kimmeridge Bay yield a Late Jurassic fauna of exceptionally preserved fossil fish which rival the famous Tithonian age assemblages of southern Germany and give the site its conservation value.  The cliffs are subject to continuing erosion, and fresh finds continue to be made every year.",,,,,
999,Kingbarrow,Dorset,Portlandian - Berriasian,,Notified,SY691729,50.55,-2.44,369100,72900,1981/12/01,1984/12/19,NE,"The best section through a typical development of the Freestone Member of the Portland Stone (at its type locality) is exposed at Kingbarrow. Its section from the Base Bed through the micritic Curf, the Whit Bed, Portland Roach and basal Purbeck Beds is typical of the lithological development in the northern half of Portland. Kingbarrow has the most quoted section in the literature in accounts of the classic quarry sites of Portland Isle. A superlative section for its stratigraphy and for its bearing on a facies analysis of the carbonate of the Portland Beds.",Jurassic,,ISLE OF PORTLAND,,
2826,Louse Hill Quarry,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST610161,50.94,-2.56,361000,116100,1989/01/06,1988/12/19,NE,"This key Middle Jurassic locality shows representative parts of the Lower, Middle and Upper Inferior Oolite in a section of little more than three metres thickness. Non-sequences, a typical feature of the Inferior Oolite locality, are a noteworthy feature of the section. The Irony Bed towards the top of the sequence contains zonally distinctive ammonites derived from the Middle Inferior Oolite. In addition this bed has yielded a rich brachiopod fauna (including type material), elements of which can be found in sections in the Alps.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",LOW`S HILL QUARRY,,
2625,Lulworth Cove,Dorset,Wealden,,Notified,SY829798,50.62,-2.24,382900,79800,1988/10/17,2000/01/02,NE,"A stretch of low disturbed cliffs here exposes the Wessex Formation of the Wealden, underlain by Upper Purbeck (Berriasian) and overlain by probable Lower Greensand (Aptian). The formation (166m) is in the alluvial plain facies common to the Wealden sites in Dorset and eastwards to the Isle of Wight. Extrabasinal clasts record the mainly Cornubian origin of the detritus, and the Coarse Quartz Grit Member is very coarse and thick (4-5m). A leached sandstone near the base contains upstanding plants, and there are traces of these and pedogenic processes in the varicoloured clays higher up. Fluctuating water tables in a warm climate are suggested. A black oil sand at the base suggests a source for the oil patches in one of the higher sandstones. If the patches are cobbles and pebbles then they must be intraformational, because the detrital petrography of their sandy matrix is typically Dorset Wealden, of Cornubian origin (high Hercynian feldspar, tourmaline and tourmaline aggregates; staurolite > kyanite; topaz, etc). They are not derived from the Jurassic. This raises the same interesting problems concerning oil accumulation and migration as apply to Mupe Bay further east. The Vectis Formation is absent. This is a key site for studies of the sedimentological and structural evolution of the Wessex Basin during the Lower Cretaceous times.",Cretaceous,Coastal and River Cliffs,SOUTH DORSET COAST,,
432,Lynch Cove,Dorset,Oxfordian,Upper Jurassic Stratigraphy from Dorset to Oxford,Notified,SY649781,50.6,-2.5,364900,78100,1980/12/01,1985/10/25,NE,"This is a site of national importance as a type locality for the occurrence of the Red Nodule Bed, a ferruginous nodule horizon within the Oxford Clay. The Lower Oxfordian C. bukowskii and C. costicardia subzones (Cordatum Zone) are represented here by eight ammonite species, of the genera Cardioceras, Goliathiceras, Aspidoceras. The fauna also includes five bivalve species, notably the large ostreid Gryphaea dilatata. The Red Nodule Bed at this locality provides an excellent stratigraphic marker horizon, whilst its faunal assemblage reproduces that of the same stratigraphic horizon in Oxfordshire, Cambridgeshire and Normandy.",Jurassic,Coastal and River Cliffs,CHESIL & THE FLEET,,
1650,Maggot - Kingbarrow - Waycroft,Dorset,Mesozoic Palaeobotany,The Jurassic palaeobotany of southern England,Notified,SY691728,50.55,-2.44,369100,72800,1985/07/01,2000/01/02,NE,"Sites on Portland afford the best opportunity to examine the trees of the Purbeck (Upper Jurassic) fossil forest. This forest formed primarily of the protopinacean conifer Protocupressinoxylon purbeckensis Eckhold, the silicified in situ boles and fallen trunks and branches of which can be seen in the dirt beds of the basal Purbeck Beds. The trees, and the sediments in which they are found, are of considerable interest in reconstructing the palaeoenvironments of southern England in latest Jurassic times.",Jurassic,,ISLE OF PORTLAND,,
2626,Mupe Bay & Worbarrow Bay,Dorset,Wealden,,Notified,SY843797,50.62,-2.22,384300,79700,1988/09/15,2000/01/02,NE,"Long stretches of seacliff here superbly expose the Wealden, visibly underlain by Upper Purbeck (Berriasian) and overlain by Lower Greensand (Aptian). The Wessex Formation is developed in alluvial plain facies (freshwater/intermittently subaerial, weak pedogenesis) broadly similar to that at Swanage and on the Isle of Wight. At Worbarrow it contains more coarse sands and pebbly sands than at Swanage. The Coarse Quartz Grit Member is notably coarser and thicker (6m). Pebbles of tourmalinised rocks and grains of K-feldspar make its largely Cornubian origin plain in the field. Clasts of other rocks raise interesting sedimentological problems; particularly low down in the sequence where intrabasinal boulders, cobbles and pebbles of oil- impregnated Wealden sandstone are enclosed in less impregnated sandstone containing geochemically more maturated oil. These must have an important bearing on intra-Cretaceous tectonics and hydrocarbon migration within the Wessex basin. Sedimentary textures and structures record more frequent episodes of high power stream flow and braided streams than at Swanage. Thinner, too, the formation is 425m thick at Worbarrow and 223m at Mupe, paralleling the westerly attenuation of the Vectis Formation, which is here absent. Using the Coarse Quartz Grit as a marker, it is likely that Aptian erosion played an important part in this. The Mupe Bay-Worbarrow Bay site is a vital link in the Isle of Wight- Dorset chain of sites which make possible the investigation of the palaeogeographical, sedimentological and structural events which opened Cretaceous times.",Cretaceous,Coastal and River Cliffs,SOUTH DORSET COAST,,
1003,Nicodemus Knob,Dorset,Portlandian - Berriasian,,Notified,SY691739,50.56,-2.44,369100,73900,1981/12/01,1984/12/19,NE,"Nicodemus Knob shows a section through the Basal Shell Bed of the Portland Stone, including a rich fauna with ammonites, many of which have been collected from this site in the course of stratigraphic revision of the Portlandian Stage. These bedding plane exposures, within the kerberus Zone, are extensive and of interest for palaeoecological studies. Both higher units, in the Cherty Beds, and underlying sections, in the Portland Sand dolomites, may be examined north of the Knob. A key site for its ammonite faunas, for the elucidation of biostratigraphic correlation in the Portland type area and the definition of the G. kerberus ammonite Zone and its faunas.",Jurassic,,ISLE OF PORTLAND,,
910,Osmington,Dorset,Oxfordian,Upper Jurassic Stratigraphy from Dorset to Oxford,Notified,SY697816,50.63,-2.43,369700,81600,1981/11/01,1985/08/07,NE,"A renowned coastal section of international importance as the standard for the Oxfordian Stage in southern Britain. The seventy metre sequence of limestones, sandstones and shales, repeated by faulting and folding, and underlain by the Upper Oxford Clay, constitutes the best exposure of the Corallian Beds in Britain. The entire Oxfordian time interval, inclusive of all eight constituent zones, is represented in exposures including the whole of the Corallian, notably the best exposures of the Nothe and Preston Grits, the Nothe Clay, Osmington Oolite and the Clavellata Beds, as well as the type and best sections for the Ringstead Coral Bed.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
2729,Peashill Quarry,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,SY495916,50.72,-2.72,349500,91600,1988/11/17,1988/12/05,NE,"This site has been renowned for many years for its section through the Upper Inferior Oolite and its fauna of bryozoans and sponges. Six genera of sponge and ten genera of bryozoan have been recorded, as well as thirty-eight species of foraminifera. The Upper Inferior Oolite with its important sponge beds fauna overlies Lower Inferior Oolite of the opalinum biozone.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",PEASHILL QUARRY,,
723,Perryfield Quarry,Dorset,Portlandian - Berriasian,,Notified,SY694712,50.54,-2.43,369400,71200,1981/09/01,1984/12/19,NE,"The best section on the Isle of Portland through the lower Purbeck Beds. Above the basal Caps and Dirt Beds, a predominantly clay sequence is distinguished by the presence of well-developed algal stromatolites. These, in the form of laterally linking hemispheres, were produced by blue-green algae in association with serpulid tubes. As well as the most extensive lower-mid Purbeck section on Portland, the Perryfield site affords one of Britain's most spectacular examples of littoral algal growth of considerable palaeoenvironmental significance.",Jurassic,,ISLE OF PORTLAND,,
1643,Portland Bill,Dorset,Quaternary of South-West England,"The Quaternary history of the Dorset, south Devon and Cornish coasts",Notified,SY675685,50.51,-2.46,367500,68500,1984/08/01,1984/12/19,NE,"This site shows what is probably the most important raised beach locality on Britain's south coast. It provides unique stratigraphic evidence for two marine episodes (of Ipswichian and pre-Ipswichian ages), succeeded by a period of soil formation, and a cold phase with periglacial conditions. The Ipswichian beach has yielded an exceptional number of species of temperate-water mollusca. In total, the lithostratigraphic and biostratigraphic evidence and the geochemical dating potential make Portland Bill a site of the highest importance for Pleistocene studies.",Quaternary,Coastal and River Cliffs,ISLE OF PORTLAND,,
806,Poxwell,Dorset,Palaeoentomology,,Notified,SY740835,50.65,-2.37,374000,83500,1981/10/01,1985/04/30,NE,"This small exposure in the Lower Purbeck Beds is currently one of the most productive sites for Upper Jurassic insects in Britain. The insects are preserved in a micrite with halite and gypsum pseudomorphs assigned to the Lower Insect Bed. The material has not yet been described, but includes Odonata, Blattoidea, Hemiptera, Coloeptera, Diptera and Trichoptera, assigned to around twenty species and including forms not previously known from other Purbeck localities.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",POXWELL,,
636,Punfield Cove,Dorset,Aptian-Albian,,Notified,SZ037807,50.63,-1.95,403700,80700,1981/06/01,1986/08/06,NE,"This is the type locality for the famous but now obsolete Punfield Formation. Stratigraphically and palaeogeographically the site is critical in demonstrating Lower Greensand thickness changes from the Isle of Wight, westwards, and the Punfield Marine Band is palaeontologically of great significance - with a unique and palaeoecologically important molluscan fauna, including gastropods with Tethyan characteristics. One of the Lower Cretaceous' most important palaeobiological localities.",Cretaceous,Coastal and River Cliffs,PURBECK RIDGE (EAST),,
1903,Rimsmoor,Dorset,Quaternary of South Central England,,Notified,SY814922,50.73,-2.26,381400,92200,1987/08/12,1987/08/12,NE,"Rimsmoor is a key site both for studies of palynology and doline formation. It is exceptional for the depth of peat it contains; most dolines in the area (apart from Oakers doline) are free-draining and lack significant organic accumulation. Palynologically, Rimsmoor is important as one of few sites providing evidence of vegetational change near the Chalklands since the early Holocene. High temporal resolution is possible by the apparently extremely rapid rate of organic accumulation. There is little precise evidence for the ages of the Dorset dolines and similar hollows elsewhere in England, but radiocarbon dating at Rimsmoor does provide one basal date of approximately 8,000 years BP. Stratigraphical evidence demonstrates gradual subsidence as the means of formation of Rimsmoor doline. The nearby Oakers doline is also included for its palynological research potential.",Quaternary,Relict Geomorphological Site,OAKERS BOG,,
1297,Ringstead,Dorset,Kimmeridgian,Upper Jurassic Stratigraphy from Dorset to Oxford,Notified,SY751813,50.63,-2.35,375100,81300,1982/11/01,1985/08/07,NE,"An important Kimmeridge Clay locality showing a number of discontinuous sections collectively spanning much of the Kimmeridgian Stage, and including the type section for the base of the baylei Zone. The lowest section exposes the baylei and basal cymodoce zones, including the Inconstans, Nana and Delta beds above the Ringstead Coral Bed. Units from just below the Nannocardioceras Cementstone to the Freshwater Steps Band are seen further east; while even higher rock units, including condensed representatives of the Pavlovia zones, occur beneath the Portland Beds. These Pavlovia-bearing beds are phosphatised in part and can be compared with the lydite beds of Wiltshire, and correlated with the much thicker, less condensed or normal sequences of the Isle of Purbeck. A key locality for studies of stratigraphy and sedimentation in the Kimmeridgian.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
3037,"Ryewater, Corscombe",Dorset,Callovian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST513062,50.85,-2.69,351300,106200,1997/06/12,2000/01/02,NE,"Intermittent stream sections and bank exposures in the Ryewater-Lovelands area near Corscombe Show a remarkable Lower Callovian succession in the core of an anticlinal structure.

At the base of the succession, the  Abbotsbury Cornbrash Formation, which although incompletely exposed, contains the Bathonian-Callovian boundary, in an area where this boundary is known to be one of the most complete in Britain (basal Keppleri subzone, Herveyi Zone faunas are known from nearby Corscombe, in Fleet Member Facies).  Higher levels in the Fleet Member yield Macrocephalites spp. of the Terebratus and Kamspsus subzones.

The overlying sequence appears to show the Kellaways Formation resting directly upon the Fleet member with no evidence of the presence of the Clayton Clay Formation, which is known further north.  The Kellaways Clay Member dominates the formation and only a thin development of the Kellaways Sand Formation is present.  The Kellaways Clay Member is richly fossiliferous, and this is the only site in Britain where the unit is permanently exposed.  It contains septarian nodules with well preserved ammonites of the Gowerianus Subzone of the Koenigi Zone, including Kepplerites (Gowericeras) ex grp. gowerianus, Cadoceras, Proplanulites and Chamoussetia.  Of particular note are effective topotypes of the zonal index Proplanulites koenigi (J. Sowerby), a species first described from nearby Rampisham.  Many bivalves including Myophorella, Catinula and Thracia are also present.

The Kellaways Sand Member yields few recognisable fossils excepting Gryphea, but the presence of Sigaloceras and Proplanulites ex grp. petrosus S. Buckman suggests a Calloviense  Zone, Calloviense Sub zone age.  Above the Kellaways Sand Member is a sequence of sandy and silty mudrocks with some calcareous lenticles in its upper part.   Ammonite faunas include Sigaloceras (Catasigiloceras) ex grp. enodatum (Nikitin), Kosmoceras (Giuielmiceras) medea Callomon, with some perisphintids and Cadoceras (the latter two groups mainly in the lower part).  Bivalves are abundant, with bands of Gryphea a higher levels.  The ammonite fauna indicates the Enodatum Subzone (Calloviense Zone) of the terminal Lower Callovian, and the Media Subzone (Jason Zone) of the basal Middle Callovian.  These levels would be assignable to the Oxford Clay Formation, but the silty character suggests that the locally developed Mohuns Park Member is present.  Ryewater may, therefore, include the only significant surface exposures of this unit, known primarily from boreholes.

Although little known, the Ryewater-Lovelands exposures are in a classical area where most of the older sites have been lost.  They reveal a remarkably complete Lower Callovian sequence yielding Callovian ammonite faunas of international importance.  Lithostratagraphically the site provides potential reference for members not permanently exposed anywhere else in Britain.",,Inland Outcrops and Stream Sections,BRACKET`S COPPICE AND RYEWATER FARM,,
52,Sandford Lane Quarry,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST628178,50.96,-2.53,362800,117800,1979/10/01,1985/04/25,NE,An internationally important geological site. The limestones of the Inferior Oolite exposed at Sandford Lane have yielded faunas essential to Middle Jurassic stratigraphic studies. Sandford can be taken as the British standard for part of the Upper Bajocian (garantiana Zone) as well as being the most important Middle Bajocian sauzei and laeviuscula zones locality. The majority of European ammonite records from these two zones were based on collections from the Sandford Quarry. These facts make it one of the most important British sedimentary sequences.,Jurassic,Exposures in Active Quarries and Pits,SANDFORD LANE QUARRY,,
828,Sandsfoot,Dorset,Oxfordian,Upper Jurassic Stratigraphy from Dorset to Oxford,Notified,SY684797,50.62,-2.45,368400,79700,1981/10/01,1986/02/27,NE,"Outstanding sections in the Corallian (Oxfordian) rocks. The site includes the type localities for several formations including the Nothe Clay and Nothe Grit, Bencliff Grit and the Sandsfoot Clay and Grit: several of which are more thickly developed here than in the standard section a few miles to the east at Osmington. The section here covers much of the Oxfordian time interval from the Nothe Grit to the Passage Beds at the very top of the stage, and exposure of the Sandsfoot Clay-Ringstead Coral Bed interval surpasses even that of the type section. A key site in Jurassic stratigraphic studies.",Jurassic,Coastal and River Cliffs,PORTLAND HARBOUR SHORE,,
252,Seatown to Watton Cliff,Dorset,Toarcian,,Notified,SY423915,50.72,-2.82,342300,91500,1980/01/01,1986/08/27,NE,"The cliffs between Seatown and Watton Cliff provide the most complete Toarcian section in southern England, with exposures of the Bridport Sands, Down Cliff Clay and Junction Bed. Although much of the section above the latter, is relatively inaccessible, there are many fallen blocks, and these together with the excellent exposures of the thin and highly condensed Junction Bed are of extreme importance for the illustration of the unique sedimentary features and the complex micro-stratigraphic history of this bed.",Jurassic,Coastal and River Cliffs,WEST DORSET COAST,,
207,Shillingstone Quarry,Dorset,"Cenomanian, Turonian, Senonian, Maastrichtian","Southern Province, England",Notified,ST823098,50.89,-2.25,382300,109800,1980/01/01,1985/04/30,NE,"A stratigraphically important site for the Cenomanian, Turonian and Coniacian stages. The site lies at the edge of an area affected by major periods of non-deposition, responsible for the hardgrounds of the Chalk Rock and Spurious Chalk Rock. These pauses in sedimentation, attributable to tectonic or eustatic events, only occurred in the south of Hampshire and this part of Dorset. An important locality for studies of late Cretaceous stratigraphy and tectonics.",Cretaceous,Exposures in Active Quarries and Pits,SHILLINGSTONE QUARRY,,
1603,Shipmoor Point - Butterstreet Cove,Dorset,Bathonian,The Middle Jurassic Stratigraphy of Wessex,Notified,SY576836,50.65,-2.6,357600,83600,1984/04/01,1985/10/25,NE,"Small exposures along the Fleet, together with a small quarry at Langton Herring, are amongst the most important exposures of Bathonian (Middle Jurassic) rocks in Dorset. The very fossiliferous Wattonensis Beds are the lowest Bathonian strata seen on this coast. They have yielded a diverse fauna including important fish otoliths and a number of biostratigraphically valuable hodsoni Zone ammonites. At a slightly higher stratigraphic level, the Fuller's Earth Clay (basal Frome Clay) exhibits a spectacular oyster lumachelle comprised almost entirely of an elongate variety of Praeexogyra hebridica. The top of the Fuller's Earth Clay (Frome Clay) and its contact with the overlying Forest Marble, with the highly fossiliferous and stratigraphically important Boueti Bed and the Digona Bed of the Fleet area, besides yielding amongst the most diverse and fully-marine faunas encountered in the British Bathonian including abundant bivalves, echinoderms, brachiopods and bryozoans, have yielded a number of very few ammonites (?orbis Zone; discus Zone) known from the Forest Marble. Important exposures of the Cornbrash at a number of places on the Fleet Coast are particularly valuable for displaying the principal features of this laterally persistent formation as it is developed in southern Dorset.",Jurassic,Coastal and River Cliffs,CHESIL & THE FLEET,,
1064,Smallmouth Sands,Dorset,Jurassic - Cretaceous Reptilia,British Late Jurassic fossil reptiles sites,Notified,SY669764,50.59,-2.47,366900,76400,1982/06/01,1986/02/27,NE,"The Lower Kimmeridge Clay (baylei, cymodoce, mutabilis zones) of Smallmouth Sands has yielded one of the most varied Kimmeridgian reptile faunas. It is the best site for forms such as the turtles (4 species) and the pterosaurs (3 species). The specimens collected include type specimens of one turtle, two pterosaurs, one sauropod, one ichthyosaur and possibly a plesiosaur. A key site with a fauna complementing the Kimmeridge Clay vertebrate fauna of the type section in the Isle of Purbeck.",Jurassic,Foreshore Exposures,PORTLAND HARBOUR SHORE,,
2045,Solent Cliffs West,Dorset,Quaternary of South Central England,,Notified,SZ200930,50.74,-1.72,420000,93000,1986/09/01,2000/01/02,NE,"The cliffs from Highcliffe to Milford-on-Sea provide a unique opportunity for the detailed study of a flight of Pleistocene terrace gravels in cross-section. Opinions are divided as to the number of separate terraces represented, most authors claiming three or four, decreasing in height, and therefore, age from west to east. The site enables studies of gravel sedimentology etc to be combined with a wider geomorphological consideration of the terraces themselves. The Solent Cliffs are the only place in Britain where large continuous exposures of Pleistocene terrace gravels are available for study. Furthermore, the gravel at Barton is one of the richest sources of Palaeolithic artefacts in the Hampshire Basin.",Quaternary,Coastal and River Cliffs,HIGHCLIFFE TO MILFORD CLIFFS,,
1844,South Haven Peninsula,Dorset,Coastal Geomorphology of England,Sandy beaches and dunes,Notified,SZ033848,50.66,-1.95,403300,84800,1985/10/01,1989/05/17,NE,"South Haven Peninsula is a key site for coastal geomorphology. It provides an excellent example of progradation of a sand beach which has been very well-documented in historical records and by more recent field surveys. Three main ridges occur, each with dunes fronted by a seaward slope extending beneath alluvial deposits. There are few prograding sand beaches in southern Britain and South Haven Peninsula is a key member of the national network of soft coastal sites. It is extensively used as an educational site, especially as the links between geomorphological processes and ecological succession are well-exemplified.",Quaternary,Active Process Geomorphological Site,STUDLAND CLIFFS,,
